्     क     ख     ग     घ     ङ     च     छ     ज     झ     ञ     ट     ठ     ड     ढ     ण     त     थ     द     ध     न     प     फ     ब     भ     म     य     र     ल     ळ     व     श     ष     स     ह
क     क्क     क्ख     क्ग     क्घ     क्ङ     क्च     क्छ     क्ज     क्झ     क्ञ     क्ट     क्ठ     क्ड     क्ढ     क्ण     क्त     क्थ     क्द     क्ध     क्न     क्प     क्फ     क्ब     क्भ     क्म     क्य     क्र     क्ल     क्ळ     क्व     क्श     क्ष     क्स     क्ह
ख     ख्क     ख्ख     ख्ग     ख्घ     ख्ङ     ख्च     ख्छ     ख्ज     ख्झ     ख्ञ     ख्ट     ख्ठ     ख्ड     ख्ढ     ख्ण     ख्त     ख्थ     ख्द     ख्ध     ख्न     ख्प     ख्फ     ख्ब     ख्भ     ख्म     ख्य     ख्र     ख्ल     ख्ळ     ख्व     ख्श     ख्ष     ख्स     ख्ह
ग     ग्क     ग्ख     ग्ग     ग्घ     ग्ङ     ग्च     ग्छ     ग्ज     ग्झ     ग्ञ     ग्ट     ग्ठ     ग्ड     ग्ढ     ग्ण     ग्त     ग्थ     ग्द     ग्ध     ग्न     ग्प     ग्फ     ग्ब     ग्भ     ग्म     ग्य     ग्र     ग्ल     ग्ळ     ग्व     ग्श     ग्ष     ग्स     ग्ह
घ     घ्क     घ्ख     घ्ग     घ्घ     घ्ङ     घ्च     घ्छ     घ्ज     घ्झ     घ्ञ     घ्ट     घ्ठ     घ्ड     घ्ढ     घ्ण     घ्त     घ्थ     घ्द     घ्ध     घ्न     घ्प     घ्फ     घ्ब     घ्भ     घ्म     घ्य     घ्र     घ्ल     घ्ळ     घ्व     घ्श     घ्ष     घ्स     घ्ह
च     च्क     च्ख     च्ग     च्घ     च्ङ     च्च     च्छ     च्ज     च्झ     च्ञ     च्ट     च्ठ     च्ड     च्ढ     च्ण     च्त     च्थ     च्द     च्ध     च्न     च्प     च्फ     च्ब     च्भ     च्म     च्य     च्र     च्ल     च्ळ     च्व     च्श     च्ष     च्स     च्ह
छ     छ्क     छ्ख     छ्ग     छ्घ     छ्ङ     छ्च     छ्छ     छ्ज     छ्झ     छ्ञ     छ्ट     छ्ठ     छ्ड     छ्ढ     छ्ण     छ्त     छ्थ     छ्द     छ्ध     छ्न     छ्प     छ्फ     छ्ब     छ्भ     छ्म     छ्य     छ्र     छ्ल     छ्ळ     छ्व     छ्श     छ्ष     छ्स     छ्ह
ज     ज्क     ज्ख     ज्ग     ज्घ     ज्ङ     ज्च     ज्छ     ज्ज     ज्झ     ज्ञ     ज्ट     ज्ठ     ज्ड     ज्ढ     ज्ण     ज्त     ज्थ     ज्द     ज्ध     ज्न     ज्प     ज्फ     ज्ब     ज्भ     ज्म     ज्य     ज्र     ज्ल     ज्ळ     ज्व     ज्श     ज्ष     ज्स     ज्ह
झ     झ्क     झ्ख     झ्ग     झ्घ     झ्ङ     झ्च     झ्छ     झ्ज     झ्झ     झ्ञ     झ्ट     झ्ठ     झ्ड     झ्ढ     झ्ण     झ्त     झ्थ     झ्द     झ्ध     झ्न     झ्प     झ्फ     झ्ब     झ्भ     झ्म     झ्य     झ्र     झ्ल     झ्ळ     झ्व     झ्श     झ्ष     झ्स     झ्ह
ञ     ञ्क     ञ्ख     ञ्ग     ञ्घ     ञ्ङ     ञ्च     ञ्छ     ञ्ज     ञ्झ     ञ्ञ     ञ्ट     ञ्ठ     ञ्ड     ञ्ढ     ञ्ण     ञ्त     ञ्थ     ञ्द     ञ्ध     ञ्न     ञ्प     ञ्फ     ञ्ब     ञ्भ     ञ्म     ञ्य     ञ्र     ञ्ल     ञ्ळ     ञ्व     ञ्श     ञ्ष     ञ्स     ञ्ह
ण     ण्क     ण्ख     ण्ग     ण्घ     ण्     ण्     ण्छ     ण्ज     ण्झ     ण्ञ     ण्ट     ण्ठ     ण्ड     ण्ढ     ण्ण     ण्त     ण्थ     ण्द     ण्ध     ण्न     ण्प     ण्फ     ण्ब     ण्भ     ण्म     ण्य     ण्र     ण्ल     ण्ळ     ण्व     ण्श     ण्ष     ण्स     ण्ह
त     त्क     त्ख     त्ग     त्घ     त्ङ     त्च     त्छ     त्ज     त्झ     त्ञ     त्ट     त्ठ     त्ड     त्ढ     त्ण     त्त     त्थ     त्द     त्ध     त्न     त्प     त्फ     त्ब     त्भ     त्म     त्य     त्र     त्ल     त्ळ     त्व     त्श     त्ष     त्स     त्ह
थ     थ्क     थ्ख     थ्ग     थ्घ     थ्ङ     थ्च     थ्छ     थ्ज     थ्झ     थ्ञ     थ्ट     थ्ठ     थ्ड     थ्ढ     थ्ण     थ्त     थ्थ     थ्द     थ्ध     थ्न     थ्प     थ्फ     थ्ब     थ्भ     थ्म     थ्य     थ्र     थ्ल     थ्ळ     थ्व     थ्श     थ्ष     थ्स     थ्ह
द               द्ग     द्घ                                                                      द्द     द्ध     द्न               द्ब     द्भ     द्म     द्य     द्र               द्व                    
ध     ध्क     ध्ख     ध्ग     ध्घ     ध्ङ     ध्च     ध्छ     ध्ज     ध्झ     ध्ञ     ध्ट     ध्ठ     ध्ड     ध्ढ     ध्ण     ध्त     ध्थ     ध्द     ध्ध     ध्न     ध्प     ध्फ     ध्ब     ध्भ     ध्म     ध्य     ध्र     ध्ल     ध्ळ     ध्व     ध्श     ध्ष     ध्स     ध्ह
न     न्क     न्ख     न्ग     न्घ     न्ङ     न्च     न्छ     न्ज     न्झ     न्ञ     न्ट     न्ठ     न्ड     न्ढ     न्ण     न्त     न्थ     न्द     न्ध     न्न     न्प     न्फ     न्ब     न्भ     न्म     न्य     न्र     न्ल     न्ळ     न्व     न्श     न्ष     न्स     न्ह
प     प्क     प्ख     प्ग     प्घ     प्ङ     प्च     प्छ     प्ज     प्झ     प्ञ     प्ट     प्ठ     प्ड     प्ढ     प्ण     प्त     प्थ     प्द     प्ध     प्न     प्प     प्फ     प्ब     प्भ     प्म     प्य     प्र     प्ल     प्ळ     प्व     प्श     प्ष     प्स     प्ह
